ObjectID,PositionX,PositionY,Timestamp
8,0.1924,-0.5481,1733239156.646000
8,0.1423,-0.5481,1733239156.869000
8,0.0846,-0.5782,1733239157.091000
8,0.0094,-0.6534,1733239157.365000
8,-0.0012,-0.6823,1733239157.579000
8,-0.0232,-0.6835,1733239157.805000
8,0.0219,-0.6233,1733239158.025000
8,0.0721,-0.5581,1733239158.245000
8,-0.0199,-0.5447,1733239158.528000
12,-0.4043,3.3835,1733239158.025000
12,-0.4043,3.3835,1733239158.245000
12,-0.4043,3.3835,1733239158.528000
14,0.7240,3.4336,1733239158.025000
14,0.7491,3.4336,1733239158.245000
14,0.7491,3.4336,1733239158.528000
15,-4.1403,-1.4056,1733239158.245000
15,-4.1403,-1.4056,1733239158.528000
17,-4.1403,-0.5280,1733239158.528000
16,-1.4741,0.7507,1733239158.528000
21,2.9606,1.1369,1733239158.982000
21,2.9448,1.1340,1733239159.204000
21,2.9806,1.3024,1733239159.487000
21,2.9405,1.1369,1733239160.063000
21,2.9405,1.1369,1733239160.287000
21,2.9054,1.1268,1733239160.510000
21,2.9054,1.1268,1733239161.242000
21,2.9054,1.1143,1733239161.486000
21,3.0308,1.1101,1733239162.174000
23,-0.4461,-0.6701,1733239159.204000
23,-0.4252,-0.6868,1733239159.487000
23,-0.4066,-0.7013,1733239159.785000
23,-0.3792,-0.6570,1733239160.063000
23,-0.2539,-0.6910,1733239160.287000
23,-0.1486,-0.6985,1733239160.510000
23,-0.1174,-0.6172,1733239160.782000
23,-0.0640,-0.5567,1733239161.023000
23,0.0219,-0.5029,1733239161.486000
26,-2.3225,-2.0450,1733239159.785000
26,-2.3475,-2.0199,1733239160.510000
26,-2.3475,-2.0199,1733239160.782000
26,-2.3225,-1.9948,1733239161.023000
26,-2.3225,-1.9948,1733239161.242000
26,-2.3350,-2.0199,1733239161.486000
26,-2.3434,-2.0408,1733239161.727000
26,-2.3350,-2.0074,1733239162.174000
26,-2.3475,-2.0199,1733239162.396000
26,-2.3475,-2.0199,1733239162.618000
26,-2.3350,-2.0074,1733239162.840000
26,-2.3475,-2.0199,1733239163.048000
32,0.5599,-0.5280,1733239163.710000
32,0.4357,-0.5844,1733239163.940000
32,0.3395,-0.5698,1733239164.230000
32,0.3103,-0.4591,1733239164.502000
32,0.1924,-0.4979,1733239164.731000
32,-0.0139,-0.4349,1733239165.227000
32,-0.1787,-0.5155,1733239165.755000
35,1.5598,1.5392,1733239165.755000
35,1.5583,1.6283,1733239165.969000
35,1.5723,1.5991,1733239166.203000
35,1.6175,1.6238,1733239166.476000
35,1.6267,1.7035,1733239166.695000
36,0.7491,3.4336,1733239165.969000
36,0.6739,3.4336,1733239166.695000
36,0.6989,3.4336,1733239167.219000
