t,theta
1739270941701815700,-19.370200287068243
1739270941701815700,-18.148007803351895
1739270941701815700,-20.134193056915635
1739270941789033800,-17.49864594447964
1739270941789033800,-17.195733934713253
1739270941876480000,-15.59828813664647
1739270941876480000,-12.351800071572534
1739270941876480000,-16.839770521191497
1739270941876480000,-15.8074672865569
1739270941965348300,-11.565051177077986
1739270941965348300,-15.388201851544785
1739270941965348300,-15.071371073332976
1739270942052031200,-14.699154427550013
1739270942052031200,-11.451762586181097
1739270942052031200,-13.783632910917479
1739270942052031200,-12.240080673844737
1739270942140707600,-11.678116209422342
1739270942140707600,-11.734564823055063
1739270942228848500,-10.479817254857107
1739270942228848500,-10.652502689772838
1739270942316610000,-9.198326661927236
1739270942402757600,-7.710213014306895
1739270942402757600,-6.4958674834222485
1739270942491551000,-6.4958674834222485
1739270942577405400,-5.8809266762139565
1739270942666035200,-5.073925989349366
1739270942666035200,-1.5693662301915552
1739270942753343800,-1.4393127995416108
1739270942753343800,2.067391603260484
1739270942842426600,5.606515299317204
1739270942929964500,5.951109795118205
1739270943105345900,10.13100302590743
1739270943192014500,10.13100302590743
1739270943192014500,8.869511268759272
1739270943192014500,10.13100302590743
1739270943280699000,10.833961089121832
1739270943631140400,19.798763741606763
1739270943631140400,19.7285160512033
1739270943718616700,21.06055079085685
1739270943807682100,20.570488808572275
1739270943807682100,21.06055079085685
1739270943894969400,21.06055079085685
1739270943894969400,21.34019174590991
1739270943980188800,24.393484700682798
1739270943980188800,24.393484700682798
