ObjectID,PositionX,PositionY,Timestamp, X,Y,Theta
1,-1.3623,-0.3626,1739270931.368000,-0.0028,-0.0020,0.0004
1,-1.3659,-0.3518,1739270931.670000,-0.0032,-0.0028,0.0011
1,-1.3686,-0.3751,1739270931.933000,-0.0045,-0.0057,0.0003
1,-1.3623,-0.3751,1739270932.143000,-0.0057,-0.0071,0.0016
1,-1.3686,-0.3751,1739270932.365000,-0.0064,-0.0095,0.0015
1,-1.3707,-0.3626,1739270932.586000,-0.0072,-0.0116,0.0028
1,-1.3686,-0.4002,1739270932.793000,-0.0092,-0.0121,0.0026
1,-1.3686,-0.3751,1739270933.030000,-0.0085,-0.0148,0.0032
1,-1.3623,-0.4002,1739270933.283000,-0.0101,-0.0158,0.0023
1,-1.3686,-0.4002,1739270933.509000,-0.0106,-0.0173,0.0026
1,-1.3749,-0.3814,1739270933.743000,-0.0115,-0.0207,0.0030
1,-1.3623,-0.3751,1739270934.021000,-0.0043,-0.0035,0.0007
1,-1.3623,-0.3626,1739270934.297000,-0.0036,-0.0032,0.0009
1,-1.3811,-0.3626,1739270934.527000,-0.0039,-0.0033,0.0002
1,-1.4125,-0.3249,1739270934.805000,-0.0037,-0.0032,0.0012
1,-1.3937,-0.2811,1739270935.042000,-0.0037,-0.0029,0.0004
1,-1.3372,-0.1727,1739270935.327000,-0.0036,-0.0031,0.0004
1,-1.3053,-0.1232,1739270935.595000,-0.0030,-0.0025,-0.0001
1,-1.2927,-0.0422,1739270935.810000,-0.0039,-0.0036,-0.0003
1,-1.3205,-0.0032,1739270936.038000,-0.0038,-0.0026,-0.0000
1,-1.3014,0.1353,1739270936.259000,-0.0037,-0.0063,0.0003
1,-1.3331,0.2434,1739270936.543000,-0.0034,-0.0028,0.0002
1,-1.2955,0.4231,1739270936.763000,-0.0031,-0.0021,0.0004
1,-1.2971,0.4849,1739270937.048000,-0.0035,-0.0047,0.0007
1,-1.3205,0.5373,1739270937.268000,-0.0043,-0.0046,0.0013
1,-1.3623,0.6354,1739270937.538000,-0.0041,-0.0051,0.0014
1,-1.3937,0.7031,1739270937.771000,-0.0044,-0.0041,0.0012
1,-1.4024,0.8259,1739270938.055000,-0.0033,-0.0055,0.0012
1,-1.3731,0.9305,1739270938.323000,-0.0038,-0.0061,0.0006
1,-1.3924,0.9714,1739270938.542000,-0.0035,-0.0065,0.0003
1,-1.3811,1.0729,1739270938.824000,-0.0041,-0.0060,0.0004
1,-1.3561,1.1105,1739270939.046000,-0.0041,-0.0054,0.0005
1,-1.2155,1.1240,1739270939.333000,-0.0035,-0.0047,-0.0000
1,-1.1510,1.1025,1739270939.547000,-0.0043,-0.0047,0.0005
1,-1.0163,1.1369,1739270939.838000,-0.0038,-0.0039,0.0013
1,-0.8671,1.1732,1739270940.053000,-0.0048,-0.0038,0.0009
1,-0.7668,1.1669,1739270940.332000,-0.0039,-0.0033,0.0010
1,-0.6280,1.1669,1739270940.556000,-0.0044,-0.0039,0.0016
1,-0.4847,1.1240,1739270940.838000,-0.0034,-0.0045,0.0009
1,-0.4234,1.1224,1739270941.049000,-0.0048,-0.0059,0.0004
1,-0.3782,1.1356,1739270941.269000,-0.0048,-0.0052,0.0002
1,-0.2967,1.1607,1739270941.489000,-0.0053,-0.0037,0.0011
1,-0.2125,1.1956,1739270941.697000,-0.0044,-0.0023,0.0015
1,-0.1588,1.2234,1739270941.917000,-0.0049,-0.0031,0.0007
1,-0.0477,1.2171,1739270942.203000,-0.0046,-0.0063,0.0005
1,0.0543,1.1669,1739270942.497000,-0.0045,-0.0045,0.0007
1,0.1393,1.1669,1739270942.707000,-0.0049,-0.0068,0.0009
1,0.2474,1.1870,1739270942.988000,-0.0041,-0.0057,0.0009
1,0.3093,1.2171,1739270943.211000,-0.0045,-0.0053,0.0004
1,0.3964,1.2529,1739270943.504000,-0.0051,-0.0074,0.0012
1,0.4681,1.2672,1739270943.726000,-0.0045,-0.0075,0.0008
1,0.5266,1.2505,1739270944.011000,-0.0046,-0.0061,0.0015
1,0.5851,1.2254,1739270944.232000,-0.0052,-0.0074,0.0011
1,0.6185,1.2314,1739270944.499000,-0.0042,-0.0054,0.0011
1,0.6687,1.2505,1739270944.720000,-0.0045,-0.0031,0.0010
1,0.7260,1.2744,1739270944.942000,-0.0040,-0.0052,0.0019
1,0.7606,1.2672,1739270945.164000,-0.0051,-0.0069,0.0008
1,0.7857,1.1837,1739270945.432000,-0.0036,-0.0067,-0.0002
